iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,558,240,318,231,100.0,43,421,113,24,273,31,14
1,579,237,342,231,100.0,47,459,96,24,313,15,14
2,654,244,410,231,100.0,44,485,136,33,337,53,20
3,568,236,332,231,100.0,45,417,130,21,274,48,10
4,605,240,365,231,100.0,46,471,115,19,322,34,9
5,631,239,392,231,100.0,44,475,130,26,330,46,16
6,632,240,392,231,100.0,43,477,123,32,328,42,22
7,636,235,401,231,100.0,47,482,131,23,340,49,12
8,620,233,387,231,100.0,47,463,132,25,321,51,15
9,631,236,395,231,100.0,43,473,127,31,329,46,20
10,605,241,364,231,100.0,43,472,110,23,323,28,13
11,654,237,417,231,100.0,44,499,134,21,354,52,11
12,589,239,350,231,100.0,46,453,123,13,308,39,3
13,672,237,435,231,100.0,44,509,135,28,365,52,18
14,633,238,395,231,100.0,46,481,121,31,336,39,20
15,663,240,423,231,100.0,43,470,166,27,324,82,17
16,574,238,336,231,100.0,40,450,98,26,304,17,15
17,581,239,342,231,100.0,43,453,104,24,306,22,14
18,595,235,360,231,100.0,44,450,125,20,306,44,10
19,535,239,296,231,100.0,42,414,95,26,269,12,15
20,603,240,363,231,100.0,43,460,118,25,313,35,15
21,607,240,367,231,100.0,43,440,139,28,295,54,18
22,614,239,375,231,100.0,42,476,119,19,328,38,9
23,601,236,365,231,100.0,43,461,118,22,319,34,12
24,620,237,383,231,100.0,42,478,116,26,334,33,16
25,618,243,375,231,100.0,41,476,115,27,324,34,17
26,666,236,430,231,100.0,42,492,151,23,347,70,13
27,614,244,370,231,100.0,46,492,106,16,342,22,6
28,571,239,332,231,100.0,41,438,118,15,291,36,5
29,580,238,342,231,100.0,42,445,112,23,300,29,13
30,632,242,390,231,100.0,48,481,126,25,332,43,15
31,642,238,404,231,100.0,43,487,133,22,342,50,12
32,588,231,357,231,100.0,44,449,116,23,309,35,13
33,618,239,379,231,100.0,42,466,120,32,320,37,22
34,668,234,434,231,100.0,45,524,115,29,382,34,18
